setid,"Temperature, K",Mole fraction of 3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CuUQp,293.15,0,101,791.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.0989,101,993.23,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.1981,101,1112.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.2916,101,1153.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.408,101,1180.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.4831,101,1192.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.5941,101,1205.2,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.6808,101,1213.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.7652,101,1220.3,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,0.8178,101,1224.1,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,293.15,1,101,1234.9,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0,101,786.5,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.0989,101,989.24,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
CuUQp,298.15,0.1981,101,1107.6,Taib et al. (2011),Density,Liquid,AAGIBL,CO,methanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,
