setid,"MolaLity of 1-butylpyridinium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mZkuU,0.0091,101,298.15,997.718,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0228,101,298.15,998.686,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0295,101,298.15,999.157,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0393,101,298.15,999.844,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0495,101,298.15,1000.56,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.059,101,298.15,1001.22,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0696,101,298.15,1001.95,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0752,101,298.15,1002.34,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0816,101,298.15,1002.78,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.0888,101,298.15,1003.27,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1026,101,298.15,1004.15,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1087,101,298.15,1004.54,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1217,101,298.15,1005.36,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1249,101,298.15,1005.57,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1314,101,298.15,1005.97,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1351,101,298.15,1006.21,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1364,101,298.15,1006.29,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1449,101,298.15,1006.83,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1542,101,298.15,1007.4,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1603,101,298.15,1007.78,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
mZkuU,0.1714,101,298.15,1008.46,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABCsXe,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-butylpyridinium trifluoromethanesulfonate,,,
