setid,"Temperature, K",Mole fraction of pyrrolidinium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sYMRC,283.15,0,100,1216.3,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.1,100,1221,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.22,100,1225.2,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.3,100,1227.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.4,100,1229.8,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.5,100,1231.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.62,100,1233,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.7,100,1233.3,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,0.8,100,1234,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,283.15,1,100,1235,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0,100,1205.2,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.1,100,1211,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.22,100,1215.8,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.3,100,1218.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.4,100,1221.2,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.5,100,1223.1,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.62,100,1225,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.7,100,1225.6,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,0.8,100,1226.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,293.15,1,100,1228,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0,100,1194.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.1,100,1200.9,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.22,100,1206.4,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.3,100,1209.5,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.4,100,1212.6,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.5,100,1214.9,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.62,100,1216.9,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.7,100,1218,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,0.8,100,1218.9,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,303.15,1,100,1220.4,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,313.15,0,100,1183.9,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,313.15,0.1,100,1191,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,313.15,0.22,100,1197,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,313.15,0.3,100,1200.6,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
sYMRC,313.15,0.4,100,1204.1,Pires et al. (2013),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
