setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mSBUR,278.15,0.00493,101.3,1123.9,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.00922,101.3,1124,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.02011,101.3,1124.1,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.02847,101.3,1124.2,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.04021,101.3,1124.3,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.05027,101.3,1124.4,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.05882,101.3,1124.5,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.07643,101.3,1124.8,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,278.15,0.09711,101.3,1125.1,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.00493,101.3,1120.5,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.00922,101.3,1120.5,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.02011,101.3,1120.6,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.02847,101.3,1120.7,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.04021,101.3,1120.8,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.05027,101.3,1120.9,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.05882,101.3,1121,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.07643,101.3,1121.2,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,283.15,0.09711,101.3,1121.5,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,288.15,0.00493,101.3,1117,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
mSBUR,288.15,0.00922,101.3,1117,Toma et al. (2022),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AALwIY,OCCO,"1,2-ethanediol",,,
