setid,"Temperature, K","MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wbAik,288.15,0,100,999.1,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,288.15,0.005,100,999.3,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,288.15,0.01,100,999.5,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,288.15,0.03,100,1000.31,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,288.15,0.05,100,1001.11,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,298.15,0,100,997.04,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,298.15,0.005,100,997.23,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,298.15,0.01,100,997.42,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,298.15,0.03,100,998.19,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,298.15,0.05,100,998.96,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,308.15,0,100,994.03,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,308.15,0.005,100,994.23,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,308.15,0.01,100,994.42,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,308.15,0.03,100,995.2,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,308.15,0.05,100,995.98,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,318.15,0,100,990.22,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,318.15,0.005,100,990.42,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,318.15,0.01,100,990.62,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,318.15,0.03,100,991.41,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
wbAik,318.15,0.05,100,992.21,Kumar et al. (2017b),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
