setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SAIrH,288.15,0,101,787.2,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.053,101,941.8,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.1989,101,1156.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.3593,101,1263.1,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.5201,101,1322.1,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.6103,101,1344.7,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.788,101,1377.3,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,0.9394,101,1396.6,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,288.15,1,101,1403.4,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
SAIrH,298.15,0,101,776.5,Geppert-Rybczynska et al. (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
