setid,"Temperature, K","MolaLity of N-methyl-N-propylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oUffL,293.15,0,101,998.205,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.02021,101,998.997,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.03463,101,999.557,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.05421,101,1000.31,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.07655,101,1001.17,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.10617,101,1002.29,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.13721,101,1003.46,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.17473,101,1004.86,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.21767,101,1006.42,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
oUffL,293.15,0.26266,101,1008.04,Warminska and Smiechowski (2022),Density,Liquid,ABAnTZ,CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,N-methyl-N-propylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
