setid,"Solvent: MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","MolaLity of L-isoleucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
unRrD,0,0,293.15,100,998.234,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0,298.15,100,997.056,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0,303.15,100,995.658,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0,308.15,100,994.056,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0,313.15,100,992.215,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0211,293.15,100,998.774,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0211,298.15,100,997.593,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0211,303.15,100,996.193,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0211,308.15,100,994.589,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0211,313.15,100,992.745,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0433,293.15,100,999.336,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0433,298.15,100,998.152,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0433,303.15,100,996.749,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0433,308.15,100,995.142,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0433,313.15,100,993.296,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0628,293.15,100,999.824,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0628,298.15,100,998.636,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0628,303.15,100,997.232,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0628,308.15,100,995.621,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0628,313.15,100,993.774,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0848,293.15,100,1000.37,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0848,298.15,100,999.176,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0848,303.15,100,997.77,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0848,308.15,100,996.156,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0848,313.15,100,994.307,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0979,293.15,100,1000.69,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0979,298.15,100,999.495,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0979,303.15,100,998.087,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0979,308.15,100,996.47,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.0979,313.15,100,994.621,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.1239,293.15,100,1001.32,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.1239,298.15,100,1000.12,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.1239,303.15,100,998.71,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.1239,308.15,100,997.088,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0,0.1239,313.15,100,995.236,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0.0301,0,293.15,100,1000.38,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0.0301,0,298.15,100,999.178,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0.0301,0,303.15,100,997.745,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0.0301,0,308.15,100,996.098,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
unRrD,0.0301,0,313.15,100,994.22,Syal et al. (2021),Density,Liquid,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
