setid,"Temperature, K","MolaLity of 1-butyl-3-methyl-1H-imidazolium L-isoleucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uLXGv,298.15,0.11822,100,1000.22,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.1456,100,1000.93,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.16617,100,1001.47,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.17654,100,1001.73,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.25024,100,1003.6,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.29367,100,1004.66,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.33562,100,1005.72,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.38021,100,1006.75,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0,100,995.65,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.02906,100,996.433,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.04398,100,996.821,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.05752,100,997.168,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.0722,100,997.554,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.07899,100,997.73,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.11822,100,998.731,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.1456,100,999.436,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.16617,100,999.965,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.17654,100,1000.2,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.25024,100,1002,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.29367,100,1003.05,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.33562,100,1004.06,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,303.15,0.38021,100,1005.08,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0,100,994.035,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.03034,100,994.828,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.0467,100,995.242,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.05983,100,995.575,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.07535,100,995.962,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.09204,100,996.388,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.12101,100,997.102,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.14516,100,997.702,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.18318,100,998.629,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.21907,100,999.468,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.26315,100,1000.51,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.29768,100,1001.31,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.33668,100,1002.21,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,308.15,0.38021,100,1003.17,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0,100,992.219,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.03034,100,992.995,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.0467,100,993.401,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.05983,100,993.731,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.07535,100,994.106,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.09204,100,994.515,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.12101,100,995.217,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.14516,100,995.792,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.18318,100,996.685,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.21907,100,997.538,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.26315,100,998.53,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.29768,100,999.299,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.33668,100,1000.18,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,313.15,0.38021,100,1001.15,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
