setid,"Temperature, K","MolaLity of 1-butyl-3-methyl-1H-imidazolium L-isoleucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uLXGv,293.15,0,100,998.206,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.02906,100,999.041,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.04398,100,999.456,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.05752,100,999.834,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.0722,100,1000.24,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.07899,100,1000.43,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.11822,100,1001.49,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.1456,100,1002.23,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.16617,100,1002.78,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.17654,100,1003.05,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.25024,100,1004.97,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.29367,100,1006.09,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.33562,100,1007.15,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,293.15,0.38021,100,1008.26,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0,100,997.047,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.02906,100,997.851,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.04398,100,998.255,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.05752,100,998.616,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.0722,100,999.019,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
uLXGv,298.15,0.07899,100,999.193,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpKl,CCCC[n+]1ccn(C)c1.CC[C@H](C)[C@H](N)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium L-isoleucinate,,,
