setid,Mole fraction of 1-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZgRgt,0.333,293.15,101,1495.2,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,298.15,101,1490.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,303.15,101,1485.7,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,308.15,101,1480.9,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,313.15,101,1476.2,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,318.15,101,1471.5,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,323.15,101,1466.8,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,328.15,101,1462.1,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,333.15,101,1457.4,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,338.15,101,1452.7,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.333,343.15,101,1448.1,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,293.15,101,1487.1,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,298.15,101,1482.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,303.15,101,1477.5,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,308.15,101,1472.8,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,313.15,101,1468,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,318.15,101,1463.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,323.15,101,1458.6,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,328.15,101,1453.9,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,333.15,101,1449.3,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,338.15,101,1444.6,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ZgRgt,0.357,343.15,101,1440,Zheng et al. (2013),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
