setid,"MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JhHVX,0.00391,298.15,102,997.18,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.00569,298.15,102,997.24,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.00713,298.15,102,997.3,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.0084,298.15,102,997.34,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.00984,298.15,102,997.39,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.01237,298.15,102,997.47,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.01433,298.15,102,997.52,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.0187,298.15,102,997.64,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.02447,298.15,102,997.81,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.02603,298.15,102,997.85,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
JhHVX,0.02806,298.15,102,997.91,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
