setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nEMFy,293.15,0,99,998.2,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.0185,99,1034.4,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.0287,99,1050.5,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.0466,99,1074,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.0766,99,1103.9,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.0964,99,1119,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.2011,99,1169.1,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.2858,99,1191.6,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.3993,99,1211.3,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.4979,99,1223.2,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.5772,99,1230.6,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
nEMFy,293.15,0.6015,99,1232.5,Anton et al. (2016),Density,Liquid,AADYJk,O,water,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
