setid,Weight fraction of 1-hexyl-3-methylimidazolium chloride,Weight fraction of potassium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SvEOi,0,0.2792,101,298.15,1187.44,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.062,0.2049,101,298.15,1161.38,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.1316,0.1565,101,298.15,1144.82,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.2063,0.1184,101,298.15,1133.18,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.2831,0.0928,101,298.15,1120.55,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.3602,0.0765,101,298.15,1111.58,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.4388,0.0625,101,298.15,1096.85,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.5197,0.0482,101,298.15,1085.2,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.6018,0.0357,101,298.15,1071.86,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.6852,0.0239,101,298.15,1059.05,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
SvEOi,0.7689,0.0143,101,298.15,1055.27,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
