setid,Mole fraction of 1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pVssi,0,101,298.15,793.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.0001,101,298.15,789.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.0233,101,298.15,883.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.0513,101,298.15,963.3,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.1054,101,298.15,1054.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.1417,101,298.15,1094.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.1679,101,298.15,1115.1,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.2161,101,298.15,1147.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.2452,101,298.15,1163.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
pVssi,0.297,101,298.15,1183.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
