setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tvreT,293.15,0,101,791.1,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.1003,101,965,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.1994,101,1078.7,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.3001,101,1160.1,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.4006,101,1220.4,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.4999,101,1267.7,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.6,101,1304.7,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.7,101,1335.1,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.8,101,1360.6,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,0.9007,101,1382,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,293.15,1,101,1399.8,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0,101,786.4,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.1003,101,960.4,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.1994,101,1074.3,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.3001,101,1155.4,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.4006,101,1216.1,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.4999,101,1263.2,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.6,101,1300,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.7,101,1330.5,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.8,101,1356,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,0.9007,101,1377.5,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,298.15,1,101,1395.2,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0,101,781.8,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.1003,101,955.7,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.1994,101,1069.6,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.3001,101,1150.8,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.4006,101,1211.4,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.4999,101,1258.6,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.6,101,1295.5,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
tvreT,303.15,0.7,101,1326,Neale et al. (2017),Density,Liquid,AANPWF,CCCC#N,butanenitrile,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
