setid,"Temperature, K","MolaLity of tetra-sec-butyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
twmzu,298.15,0.0097,74.66,997.488,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.01981,74.66,997.958,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.03014,74.66,998.439,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.04066,74.66,998.953,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.04983,74.66,999.408,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.0598,74.66,999.909,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.07027,74.66,1000.44,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.07997,74.66,1000.95,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.08984,74.66,1001.45,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,298.15,0.1018,74.66,1002.08,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.0097,74.66,996.085,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.01981,74.66,996.548,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.03014,74.66,997.029,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.04066,74.66,997.518,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.04983,74.66,997.974,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.0598,74.66,998.449,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.07027,74.66,998.977,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.07997,74.66,999.449,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.08984,74.66,999.971,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
twmzu,303.15,0.1018,74.66,1000.56,Moreno et al. (2014),Density,Liquid,AADYJk,O,water,ABJzCd,CCC(C)[N+](C(C)CC)(C(C)CC)C(C)CC.[Br-],tetra-sec-butyl ammonium bromide,,,
