setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UYpfM,313.15,0,101,992.15,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.0348,101,1046.88,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.0933,101,1095.76,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.1312,101,1114.51,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.2458,101,1144.25,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.3495,101,1155.83,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.5281,101,1166.58,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.693,101,1171.7,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.7794,101,1172.6,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,0.895,101,1174.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,313.15,1,101,1176.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0,101,990.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.0348,101,1044.06,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.0933,101,1092.47,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
UYpfM,318.15,0.1312,101,1111.07,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,
