setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XukIG,100,288.15,0.000595,999.706,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,288.15,0.00119,1000.3,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,288.15,0.001784,1000.89,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,288.15,0.002377,1001.46,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,288.15,0.00297,1002.03,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,288.15,0.003562,1002.58,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.000595,997.593,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.001189,998.146,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.001783,998.678,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.002376,999.205,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.002968,999.724,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,298.15,0.00356,1000.23,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.000595,994.541,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.001189,995.047,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.001783,995.543,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.002375,996.024,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.002968,996.502,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,308.15,0.00356,996.975,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.000595,990.684,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.00119,991.157,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.001784,991.619,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.002377,992.069,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.002969,992.518,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XukIG,100,318.15,0.003562,992.957,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
