setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vsUzm,0.2002,298.15,101,950.7,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
vsUzm,0.4993,298.15,101,968.7,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
vsUzm,0.7879,298.15,101,984.5,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
