setid,"Temperature, K","MolaLity of tetraphenylphosphonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TWqPR,288.15,0.01068,101,970.4,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,288.15,0.03185,101,972.7,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,288.15,0.04198,101,973.8,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,288.15,0.06351,101,976.1,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,288.15,0.08454,101,978.2,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,288.15,0.10953,101,981,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.01047,101,961.6,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.03159,101,963.5,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.04225,101,964.4,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.06375,101,966.2,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.08552,101,968,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,298.15,0.11138,101,970.2,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.01074,101,954.9,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.03169,101,956.7,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.05325,101,958.6,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.07507,101,960.6,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.08365,101,961.3,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
TWqPR,308.15,0.11036,101,963.6,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,
