setid,"Temperature, K","Mole fraction of 1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UfbpT,283.15,0.25,100,1082,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,283.15,0.501,100,1090,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,283.15,0.749,100,1104,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,288.15,0.25,100,1078,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,288.15,0.501,100,1087,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,288.15,0.749,100,1100,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,293.15,0.25,100,1075,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,293.15,0.501,100,1083,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,293.15,0.749,100,1097,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
UfbpT,295.15,0.25,100,1073,Fillion and Brennecke (2017),Density,Liquid,ABEVkv,CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,"1-hexyl-2,3-dimethylimidazolium 4-nitropyrazolide",ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,
