setid,Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of potassium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BfsRv,0,0.2792,101,298.15,1187.44,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.0665,0.1828,101,298.15,1168.68,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.1412,0.1319,101,298.15,1151.46,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.2178,0.1077,101,298.15,1138.12,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.2982,0.0836,101,298.15,1128.63,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.3801,0.0654,101,298.15,1122.21,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.4633,0.0508,101,298.15,1116.18,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.5481,0.0375,101,298.15,1115.77,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.6326,0.028,101,298.15,1118.51,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.7177,0.0197,101,298.15,1121.99,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
BfsRv,0.8026,0.0134,101,298.15,1127.39,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
