setid,"Temperature, K",Mole fraction of N-ethyl-N-methylpiperidinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CElVW,298.15,0,100,997.1,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.02,100,1042.3,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.046,100,1088.3,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.065,100,1116.9,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.085,100,1141.4,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.11,100,1167.4,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.14,100,1192.2,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.18,100,1217.8,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.221,100,1237.8,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.27,100,1255.2,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,298.15,0.321,100,1268.9,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
CElVW,303.15,0,100,995.7,Krolikowska et al. (2019b),Density,Liquid,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
