setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CVMhF,525.5,0.134,298.15,0.0002522,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,567.7,0.113,313.15,0.0002606,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,618.4,0.093,333.15,0.0002678,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1123.1,0.255,298.15,0.0002222,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1217.5,0.218,313.15,0.0002344,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1333.3,0.18,333.15,0.0002455,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1476.5,0.316,298.15,0.0002071,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1606.5,0.273,313.15,0.0002203,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1767.4,0.229,333.15,0.0002327,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,1913.1,0.376,298.15,0.0001924,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2083.3,0.327,313.15,0.000207,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2237.6,0.418,298.15,0.000182,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2294.9,0.275,333.15,0.0002214,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2445,0.369,313.15,0.0001966,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2702.9,0.316,333.15,0.0002107,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,2800.7,0.478,298.15,0.0001674,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,3072.7,0.425,313.15,0.0001827,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,3281.6,0.523,298.15,0.0001565,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,3411.9,0.368,333.15,0.0001978,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,3613.6,0.468,313.15,0.0001718,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,3998.7,0.578,298.15,0.0001431,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,4029.9,0.409,333.15,0.0001874,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,4415.1,0.519,313.15,0.0001596,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,4567.3,0.616,298.15,0.0001339,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,4942.5,0.455,333.15,0.0001767,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,5100.5,0.561,313.15,0.000149,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
CVMhF,5777.2,0.501,333.15,0.000165,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
