setid,"Temperature, K","Pressure, kPa",Mole fraction of ethylammonium nitrate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KKATI,313.574,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.578,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.584,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.594,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.607,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.624,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.646,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.666,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.701,101,0.766,1065,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.716,101,0.766,1064.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.73,101,0.766,1064.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.743,101,0.766,1064.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.761,101,0.766,1064.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.829,101,0.766,1064.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,313.92,101,0.766,1064.8,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.021,101,0.766,1064.8,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.17,101,0.766,1064.7,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.37,101,0.766,1064.5,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.385,101,0.766,1064.5,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.633,101,0.766,1064.4,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.635,101,0.766,1064.4,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.663,101,0.766,1064.4,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.762,101,0.766,1064.3,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.973,101,0.766,1064.2,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,314.974,101,0.766,1064.2,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,315.165,101,0.766,1064,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,315.582,101,0.766,1063.8,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,316.15,101,0.766,1063.4,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,316.6,101,0.766,1063.1,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,317.295,101,0.766,1062.7,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,318.047,101,0.766,1062.2,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,320.184,101,0.766,1060.7,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,322.159,101,0.766,1059.4,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,323.044,101,0.766,1058.7,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,325.03,101,0.766,1057.3,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,328.259,101,0.766,1054.9,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,330.526,101,0.766,1053.2,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
KKATI,332.985,101,0.766,1051.2,Oleinikova and Bonetti (1996),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
