setid,"Temperature, K","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IQuMe,288.15,0,101,1038.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0085,101,1038.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0134,101,1039,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0207,101,1039.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0274,101,1039.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0362,101,1039.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0411,101,1039.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0472,101,1039.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,288.15,0.0547,101,1039.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0,101,1029.8,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0085,101,1030,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0134,101,1030.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0207,101,1030.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0274,101,1030.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0362,101,1030.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0411,101,1030.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0472,101,1030.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,298.15,0.0547,101,1030.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0,101,1020.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0085,101,1021.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0134,101,1021.2,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0207,101,1021.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0274,101,1021.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0362,101,1021.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0411,101,1021.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
IQuMe,308.15,0.0472,101,1021.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
