setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zBWvl,0.03,0,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0,293.15,100,999.5,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0,298.15,100,998.4,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0,303.15,100,996.9,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,278.15,100,1001.9,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,283.15,100,1001.6,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,288.15,100,1000.9,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,293.15,100,999.9,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,298.15,100,998.8,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0154,303.15,100,997.3,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,278.15,100,1002.3,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,283.15,100,1002,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,288.15,100,1001.3,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,293.15,100,1000.3,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,298.15,100,999.2,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0302,303.15,100,997.7,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0451,278.15,100,1002.7,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0451,283.15,100,1002.4,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
zBWvl,0.03,0.0451,288.15,100,1001.7,Yan et al. (2020),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
