setid,"Solvent: MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lEWTH,0,0,293.15,100,998.234,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0,298.15,100,997.056,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0,303.15,100,995.658,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0,308.15,100,994.056,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0,313.15,100,992.215,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0201,293.15,100,998.77,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0201,298.15,100,997.591,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0201,303.15,100,996.189,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0201,308.15,100,994.583,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0201,313.15,100,992.737,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0403,293.15,100,999.304,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
lEWTH,0,0.0403,298.15,100,998.124,Syal et al. (2021),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AADYJk,O,water
