setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EmqpG,0,298.15,101.325,945.5,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.053,298.15,101.325,982.4,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.0995,298.15,101.325,1009.2,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.1992,298.15,101.325,1055,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.299,298.15,101.325,1090,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.335,298.15,101.325,1100.7,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.3986,298.15,101.325,1117.6,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.4541,298.15,101.325,1130.7,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.4948,298.15,101.325,1139.6,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.5592,298.15,101.325,1151.9,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.5939,298.15,101.325,1158.1,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.6976,298.15,101.325,1174.6,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.7959,298.15,101.325,1187.7,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,0.8976,298.15,101.325,1200,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EmqpG,1,298.15,101.325,1211,Wang et al. (2003),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
