setid,"Temperature, K","MolaLity of tributylhexylphosphonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VtymR,293.15,0,100,782.312,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.0981,100,789.032,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.2003,100,795.61,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.2967,100,801.463,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.4,100,807.386,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.4962,100,812.599,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.6001,100,817.932,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.6997,100,822.789,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.7927,100,827.097,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,0.899,100,831.778,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,293.15,1.0082,100,836.338,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0,100,776.919,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.0981,100,783.718,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.2003,100,790.363,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.2967,100,796.272,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.4,100,802.261,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.4962,100,807.539,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.6001,100,812.91,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.6997,100,817.826,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.7927,100,822.195,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,0.899,100,826.941,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
VtymR,298.15,1.0082,100,831.566,Xu et al. (2021a),Density,Liquid,ABTysK,CCCCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tributylhexylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
