setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HYZKx,0.0031,0,86,298.15,1199.1,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0138,86,298.15,1198.8,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0171,86,298.15,1198.8,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0211,86,298.15,1198.7,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0241,86,298.15,1198.6,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0295,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0332,86,298.15,1198.4,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0359,86,298.15,1198.4,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0031,0.0395,86,298.15,1198.3,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0,86,298.15,1199.2,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.013,86,298.15,1199,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.0174,86,298.15,1198.9,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.0204,86,298.15,1198.8,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.024,86,298.15,1198.7,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.029,86,298.15,1198.6,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
HYZKx,0.0059,0.0331,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
