setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXqlq,6.7e-05,313.15,1000,0.0001872,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,2000,0.0001697,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,3000,0.0001563,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,4000,0.0001447,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,5000,0.0001368,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,6000,0.0001299,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,7000,0.0001243,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,8000,0.0001214,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,313.15,9000,0.0001172,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,1000,0.0001927,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,2000,0.0001762,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,3000,0.0001627,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,4000,0.0001511,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,5000,0.0001419,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,6000,0.0001359,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,7000,0.0001283,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,8000,0.0001236,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
FXqlq,6.7e-05,323.15,9000,0.0001203,Fu et al. (2006),Density,Liquid,Gas,,123,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
