setid,"MolaLity of tetraethylammonium perchlorate, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mawvt,0.00788,298.15,101,0.037,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.01892,298.15,101,0.088,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.02956,298.15,101,0.137,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.04947,298.15,101,0.223,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.07188,298.15,101,0.31,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.09103,298.15,101,0.386,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
mawvt,0.10877,298.15,101,0.45,Zana et al. (1982),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
