setid,Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tjNEU,0,101,298.15,997,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.004,101,298.15,1005.5,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0077,101,298.15,1013.2,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0123,101,298.15,1021.8,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0132,101,298.15,1023.4,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0288,101,298.15,1046.4,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0483,101,298.15,1068.2,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.0709,101,298.15,1088.6,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.102,101,298.15,1111.7,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.1418,101,298.15,1135.8,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.2141,101,298.15,1169.1,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.2191,101,298.15,1171,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.3118,101,298.15,1200.3,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.4551,101,298.15,1230,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.4987,101,298.15,1236.7,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.5923,101,298.15,1248.6,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.691,101,298.15,1258.5,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,0.7774,101,298.15,1265.5,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
tjNEU,1,101,298.15,1279.9,Rilo et al. (2009),Density,Liquid,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
