setid,Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AKFyy,0.0157,293.15,101,813.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0157,298.15,101,809.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0157,303.15,101,805.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0157,308.15,101,801,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0157,313.15,101,796.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0157,318.15,101,792.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,293.15,101,860,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,298.15,101,855.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,303.15,101,851.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,308.15,101,847.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,313.15,101,843.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.05,318.15,101,839.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,293.15,101,862.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,298.15,101,858.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,303.15,101,854.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,308.15,101,850.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,313.15,101,846.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0523,318.15,101,841.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,293.15,101,913.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,298.15,101,909.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,303.15,101,905.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,308.15,101,901.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,313.15,101,897.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0978,318.15,101,893.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,293.15,101,914.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,298.15,101,910.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,303.15,101,906.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,308.15,101,902.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,313.15,101,898.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.0991,318.15,101,894.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
AKFyy,0.1944,293.15,101,996,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
