setid,"Mole fraction of 2,4-pentanedione","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vNjIz,0.0586,101,298.15,892.92,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.0977,101,298.15,893.66,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.1957,101,298.15,895.67,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.2949,101,298.15,898.11,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.3989,101,298.15,901.25,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.4985,101,298.15,905.14,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.6092,101,298.15,910.91,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.7096,101,298.15,918.02,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.8008,101,298.15,926.85,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.9036,101,298.15,942.76,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
vNjIz,0.9508,101,298.15,953.8,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
