setid,Mole fraction of 1-butyl-1-methylpyrrolidinium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HrDSq,0.1,323.15,101.3,1318,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,328.15,101.3,1314,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,333.15,101.3,1310,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,338.15,101.3,1307,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,343.15,101.3,1302,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,348.15,101.3,1299,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,353.15,101.3,1295,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,358.15,101.3,1291,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.1,363.15,101.3,1287,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.2,318.15,101.3,1320,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.2,323.15,101.3,1316,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.2,328.15,101.3,1312,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
HrDSq,0.2,333.15,101.3,1308,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,
