setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium sulfate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yGzxm,293.15,0.00453,84.5,0.035,1002.89,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.00513,84.5,0.035,1002.91,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.00754,84.5,0.035,1002.97,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.01218,84.5,0.035,1003.11,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.01825,84.5,0.035,1003.27,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.02437,84.5,0.035,1003.43,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.0312,84.5,0.035,1003.61,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.04567,84.5,0.035,1004.01,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.06903,84.5,0.035,1004.65,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.07763,84.5,0.035,1004.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.09282,84.5,0.035,1005.27,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,293.15,0.11686,84.5,0.035,1005.91,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0,84.5,0.035,1001.52,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00189,84.5,0.035,1001.59,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00256,84.5,0.035,1001.61,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00301,84.5,0.035,1001.62,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00393,84.5,0.035,1001.65,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00453,84.5,0.035,1001.67,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00513,84.5,0.035,1001.69,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.00754,84.5,0.035,1001.75,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.01218,84.5,0.035,1001.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.01825,84.5,0.035,1002.04,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.02437,84.5,0.035,1002.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.0312,84.5,0.035,1002.37,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.04567,84.5,0.035,1002.75,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.06903,84.5,0.035,1003.37,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.07763,84.5,0.035,1003.59,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.09282,84.5,0.035,1003.97,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,298.15,0.11686,84.5,0.035,1004.59,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0,84.5,0.035,1000.09,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00189,84.5,0.035,1000.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00256,84.5,0.035,1000.17,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00301,84.5,0.035,1000.18,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00393,84.5,0.035,1000.21,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00453,84.5,0.035,1000.23,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00513,84.5,0.035,1000.25,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.00754,84.5,0.035,1000.31,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.01218,84.5,0.035,1000.43,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.01825,84.5,0.035,1000.59,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.02437,84.5,0.035,1000.73,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.0312,84.5,0.035,1000.9,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.04567,84.5,0.035,1001.27,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.06903,84.5,0.035,1001.87,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.07763,84.5,0.035,1002.08,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.09282,84.5,0.035,1002.44,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,303.15,0.11686,84.5,0.035,1003.04,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0,84.5,0.035,998.436,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00189,84.5,0.035,998.495,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00256,84.5,0.035,998.518,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00301,84.5,0.035,998.531,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00393,84.5,0.035,998.556,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00453,84.5,0.035,998.576,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00513,84.5,0.035,998.592,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.00754,84.5,0.035,998.649,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.01218,84.5,0.035,998.769,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.01825,84.5,0.035,998.92,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.02437,84.5,0.035,999.06,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.0312,84.5,0.035,999.223,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.04567,84.5,0.035,999.578,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.06903,84.5,0.035,1000.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.07763,84.5,0.035,1000.36,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
yGzxm,308.15,0.09282,84.5,0.035,1000.71,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
