setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of (.+-.)-.alpha.-aminobutyric acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lBOUL,0,298.15,0,101.3,996.8,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.1,101.3,1000.2,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.201,101.3,1002.7,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.397,101.3,1007.5,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.502,101.3,1010.1,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.601,101.3,1012.6,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,298.15,0.905,101.3,1020.1,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0,101.3,993.7,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.1,101.3,997.2,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.201,101.3,999.6,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.397,101.3,1004.4,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.502,101.3,1007,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.601,101.3,1009.4,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,308.15,0.905,101.3,1016.9,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0,101.3,993,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.1,101.3,996.4,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.201,101.3,998.9,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.397,101.3,1003.7,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.502,101.3,1006.2,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.601,101.3,1008.7,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,310.15,0.905,101.3,1016.1,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0,101.3,989.8,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.1,101.3,993.3,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.201,101.3,995.8,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.397,101.3,1000.5,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.502,101.3,1003,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.601,101.3,1005.4,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lBOUL,0,318.15,0.905,101.3,1012.8,Patyar and Kaur (2022),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
