setid,Mole fraction of ethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dZlHF,0,298.1,101.3,938.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0,308.1,101.3,928.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0,318.1,101.3,918.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.0575,298.1,101.3,953.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.0575,308.1,101.3,943.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.0575,318.1,101.3,933.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.1212,298.1,101.3,970.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.1212,308.1,101.3,961,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.1212,318.1,101.3,951.1,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.2368,298.1,101.3,1000.5,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
dZlHF,0.2368,308.1,101.3,990.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAZpGJ,COCCOCCOC,"2,5,8-trioxanonane",,,
