setid,Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KoAND,0,303.15,96.7,973.1,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,308.15,96.7,968.1,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,313.15,96.7,963,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,318.15,96.7,958,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,323.15,96.7,952.9,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,328.15,96.7,947.8,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,333.15,96.7,942.7,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,338.15,96.7,937.6,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,343.15,96.7,932.5,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,348.15,96.7,927.3,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0,353.15,96.7,922.1,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,303.15,96.7,1000.1,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,308.15,96.7,995.9,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,313.15,96.7,991.8,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,318.15,96.7,987.6,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,323.15,96.7,983.4,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,328.15,96.7,979.3,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,333.15,96.7,975.1,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
KoAND,0.145,338.15,96.7,970.9,Yang et al. (2017c),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
