setid,"Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PUPKo,0.01,288.15,0,100,999.6,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.0974,100,1004.9,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.2007,100,1010.6,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.2998,100,1016,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.3986,100,1021.4,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.5018,100,1027.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.603,100,1032.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.702,100,1038.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.804,100,1043.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.895,100,1048.6,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,288.15,0.987,100,1053.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0,100,998.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.0974,100,1003.9,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.2007,100,1009.5,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.2998,100,1014.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.3986,100,1020.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.5018,100,1025.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.603,100,1031.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.702,100,1036.5,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.804,100,1041.9,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.895,100,1046.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,293.15,0.987,100,1051.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0,100,997.5,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.0974,100,1002.7,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.2007,100,1008.2,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.2998,100,1013.6,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.3986,100,1018.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.5018,100,1024.4,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.603,100,1029.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.702,100,1035.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.804,100,1040.5,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.895,100,1045.4,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,298.15,0.987,100,1050.3,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,303.15,0,100,996.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,303.15,0.0974,100,1001.3,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,303.15,0.2007,100,1006.8,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
PUPKo,0.01,303.15,0.2998,100,1012.1,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
