setid,"Temperature, K","MolaLity of 1-ethyl-3-hexyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JeaSr,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0092,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.012,100,998.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0168,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.02,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0248,100,999.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0295,100,999.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0358,100,999.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0432,100,1000.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,293.15,0.0495,100,1000.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0092,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.012,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0168,100,997.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.02,100,997.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0248,100,998,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0295,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0358,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0432,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,298.15,0.0495,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0092,100,995.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.012,100,995.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0168,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.02,100,996.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0248,100,996.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0295,100,996.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0358,100,996.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0432,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,303.15,0.0495,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0.0092,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0.012,100,994.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0.0168,100,994.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0.02,100,994.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
JeaSr,308.15,0.0248,100,994.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMTa,CCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-hexyl-1H-imidazolium bromide,,,
