setid,"Temperature, K","MolaLity of tetradecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vSJun,288.15,0.02004,101,999.359,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.02992,101,999.48,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.04695,101,999.671,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.04813,101,999.683,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.04985,101,999.7,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.05936,101,999.805,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.07974,101,1000.04,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.08999,101,1000.16,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.09501,101,1000.21,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1002,101,1000.26,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1046,101,1000.32,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1121,101,1000.39,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1205,101,1000.49,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1532,101,1000.84,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.1784,101,1001.12,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.201,101,1001.34,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.2494,101,1001.86,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.3163,101,1002.49,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.3507,101,1002.82,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.4038,101,1003.34,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.5109,101,1004.28,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
vSJun,288.15,0.5969,101,1004.99,De Lisi et al. (1990a),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
