setid,"Temperature, K",Mole fraction of ethylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iaFVf,293.15,0,100,1001.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.0501,100,1052.3,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.1105,100,1089.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.2111,100,1134.7,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.3224,100,1158.7,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.421,100,1172.8,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.53,100,1182.6,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.6318,100,1190.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.7403,100,1195.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,0.8912,100,1201.5,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,293.15,1,100,1210.6,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0,100,1000.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.0501,100,1049.8,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.1105,100,1086,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.2111,100,1131.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.3224,100,1155.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.421,100,1169.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.53,100,1179.5,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.6318,100,1187.2,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.7403,100,1192.6,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,0.8912,100,1198.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,298.15,1,100,1206,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0,100,998.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.0501,100,1047.3,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.1105,100,1082.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.2111,100,1127.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.3224,100,1151.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.421,100,1165.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.53,100,1176.3,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.6318,100,1184.2,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.7403,100,1189.7,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,0.8912,100,1194.6,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,303.15,1,100,1201.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0,100,997.4,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.0501,100,1044.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.1105,100,1079.7,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.2111,100,1123.8,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.3224,100,1147.8,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.421,100,1162.5,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.53,100,1173.2,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.6318,100,1181.3,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.7403,100,1186.8,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,0.8912,100,1191.1,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,308.15,1,100,1196.5,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
iaFVf,313.15,0,100,995.9,Zarrougui et al. (2015),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
