setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mIUHh,293.15,0,101.3,960.8,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.0847,101.3,988.3,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.1762,101.3,1012.1,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.2966,101.3,1036.4,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.4191,101.3,1054.7,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.513,101.3,1066.4,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.6174,101.3,1077.7,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.6997,101.3,1085.6,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.79,101.3,1093.2,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
mIUHh,293.15,0.899,101.3,1101.2,Master and Malek (2020),Density,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
