setid,"Temperature, K",Weight fraction of 2-aminoethan-1-ol,Weight fraction of 3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nVpOl,293.15,0.2994,0.2007,101,1047.57,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,293.15,0.2999,0.1,101,1030.1,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,293.15,0.2999,0.2999,101,1065.62,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,293.15,0.3006,0.4001,101,1082.41,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,293.15,0.3006,0.5002,101,1099.92,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,303.15,0.2994,0.2007,101,1041.88,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,303.15,0.2999,0.1,101,1025.01,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,303.15,0.2999,0.2999,101,1059.44,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,303.15,0.3006,0.4001,101,1075.9,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,303.15,0.3006,0.5002,101,1093.2,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,313.15,0.2994,0.2007,101,1035.95,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,313.15,0.2999,0.1,101,1019.55,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,313.15,0.2999,0.2999,101,1053.11,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,313.15,0.3006,0.4001,101,1069.3,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,313.15,0.3006,0.5002,101,1086.4,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,323.15,0.2994,0.2007,101,1029.8,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,323.15,0.2999,0.1,101,1013.79,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,323.15,0.2999,0.2999,101,1046.67,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,323.15,0.3006,0.4001,101,1062.6,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,323.15,0.3006,0.5002,101,1079.5,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,333.15,0.2994,0.2007,101,1023.4,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,333.15,0.2999,0.1,101,1007.76,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,333.15,0.2999,0.2999,101,1040.06,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,333.15,0.3006,0.4001,101,1055.8,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
nVpOl,333.15,0.3006,0.5002,101,1072.7,Xu et al. (2014a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AAlIby,Cn1cc[n+](CCO)c1.N#C[N-]C#N,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
