setid,"Temperature, K","MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MBBLw,278.15,0,101.3,818.33,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.00558,101.3,818.62,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.01619,101.3,819.12,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.02672,101.3,819.6,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.03034,101.3,819.78,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.04067,101.3,820.19,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.04867,101.3,820.52,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.0606,101.3,820.97,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.07524,101.3,821.54,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
MBBLw,278.15,0.10115,101.3,822.46,Tomas et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAONLE,CCC(C)O,butan-2-ol,,,
