setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Mole ratio of chromium chloride to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WdNZL,283.15,0.264,101,0.333,1341.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,283.15,0.324,101,0.333,1310,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,283.15,0.374,101,0.333,1283.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,283.15,0.418,101,0.333,1262.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,293.15,0.264,101,0.333,1335.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,293.15,0.324,101,0.333,1304.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,293.15,0.374,101,0.333,1278,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,293.15,0.418,101,0.333,1256.9,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,298.15,0.264,101,0.333,1332.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,298.15,0.324,101,0.333,1301.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,298.15,0.374,101,0.333,1275.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,298.15,0.418,101,0.333,1254.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,303.15,0.264,101,0.333,1329.1,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,303.15,0.324,101,0.333,1298.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
WdNZL,303.15,0.374,101,0.333,1272.4,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
