setid,Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kIfWx,0.0267,101,298.15,2387.1,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.0677,101,298.15,2259,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.125,101,298.15,2106.2,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.1956,101,298.15,1950.4,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.2816,101,298.15,1796.3,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.39,101,298.15,1642.9,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.4601,101,298.15,1561.3,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.5294,101,298.15,1491.3,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.6149,101,298.15,1416.6,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.707,101,298.15,1347.64,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.8145,101,298.15,1279.11,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.867,101,298.15,1249.61,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
kIfWx,0.922,101,298.15,1220.85,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
