setid,"Solvent: MolaRity of hexamethyl 2,2',2''-(benzene-1,3,5-tricarbonyl)trimalonate, mol/dm3","MolaRity of sodium dodecyl sulfate, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FcyZl,0.0004,0.0002,101,298.15,1096.9,Gulia et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,ACCMBh,COC(=O)C(C(=O)OC)C(=O)c1cc(C(=O)C(C(=O)OC)C(=O)OC)cc(C(=O)C(C(=O)OC)C(=O)OC)c1,"hexamethyl 2,2',2''-(benzene-1,3,5-tricarbonyl)trimalonate"
FcyZl,0.0004,0.0004,101,298.15,1097.5,Gulia et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,ACCMBh,COC(=O)C(C(=O)OC)C(=O)c1cc(C(=O)C(C(=O)OC)C(=O)OC)cc(C(=O)C(C(=O)OC)C(=O)OC)c1,"hexamethyl 2,2',2''-(benzene-1,3,5-tricarbonyl)trimalonate"
FcyZl,0.0004,0.0006,101,298.15,1098,Gulia et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,ACCMBh,COC(=O)C(C(=O)OC)C(=O)c1cc(C(=O)C(C(=O)OC)C(=O)OC)cc(C(=O)C(C(=O)OC)C(=O)OC)c1,"hexamethyl 2,2',2''-(benzene-1,3,5-tricarbonyl)trimalonate"
FcyZl,0.0004,0.0008,101,298.15,1098.5,Gulia et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,ACCMBh,COC(=O)C(C(=O)OC)C(=O)c1cc(C(=O)C(C(=O)OC)C(=O)OC)cc(C(=O)C(C(=O)OC)C(=O)OC)c1,"hexamethyl 2,2',2''-(benzene-1,3,5-tricarbonyl)trimalonate"
