setid,"Temperature, K",Mole fraction of diethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ifehq,298.15,0,101,1025.9,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.0234,101,1026.53,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.0473,101,1027.19,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.1188,101,1028.41,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.1668,101,1029.09,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.2393,101,1029.73,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.3616,101,1030.18,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.411,101,1030.19,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.4856,101,1029.95,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
Ifehq,298.15,0.6115,101,1028.88,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
