setid,"Temperature, K","MolaLity of benzyldimethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ApyZs,293.15,0.04096,101.3,998.771,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,293.15,0.08786,101.3,999.403,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,293.15,0.12514,101.3,999.903,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,293.15,0.14792,101.3,1000.22,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,293.15,0.1975,101.3,1000.89,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,293.15,0.23486,101.3,1001.41,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.04096,101.3,997.582,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.08786,101.3,998.173,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.12514,101.3,998.64,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.14792,101.3,998.935,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.1975,101.3,999.56,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,298.15,0.23486,101.3,1000.04,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.04096,101.3,996.155,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.08786,101.3,996.708,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.12514,101.3,997.143,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.14792,101.3,997.413,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.1975,101.3,997.996,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,303.15,0.23486,101.3,998.439,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.04096,101.3,994.509,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.08786,101.3,995.029,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.12514,101.3,995.441,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.14792,101.3,995.689,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.1975,101.3,996.254,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,308.15,0.23486,101.3,996.664,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,313.15,0.04096,101.3,992.667,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
ApyZs,313.15,0.08786,101.3,993.154,Keshapolla et al. (2015),Density,Liquid,AADYJk,O,water,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
