setid,"MolaLity of 1-butyl-3-methylimidazolium iodide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GzrfO,5.2299,298.1,100,1231.9,Shokri and Sadeghi (2021),Density,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,
GzrfO,6.9663,298.1,100,1267.1,Shokri and Sadeghi (2021),Density,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,
GzrfO,8.0739,298.1,100,1285.1,Shokri and Sadeghi (2021),Density,Liquid,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,AADYJk,O,water,,,
