setid,Mole fraction of choline lactate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Yxonj,0.1002,293.15,101,1093,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,298.15,101,1089.9,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,303.15,101,1086.9,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,308.15,101,1083.9,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,313.15,101,1081,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,318.15,101,1077.9,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,323.15,101,1074.9,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,328.15,101,1071.7,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,333.15,101,1068.7,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
Yxonj,0.1002,338.15,101,1065.4,Francisco et al. (2013),Density,Liquid,AADYJk,O,water,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,,,
