setid,Mole fraction of tetraethylammonium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QNJrC,0.02,293.15,100,824.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,298.15,100,819,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,303.15,100,813.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,308.15,100,808.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,313.15,100,803.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,318.15,100,797.9,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,323.15,100,792.3,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,328.15,100,787,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,333.15,100,781.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,338.15,100,776.5,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,343.15,100,770.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.02,348.15,100,765.2,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,293.15,100,879.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,298.15,100,874.8,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,303.15,100,869.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
QNJrC,0.05,308.15,100,864.7,Arkhipova et al. (2022c),Density,Liquid,ABBlqW,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,tetraethylammonium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
