setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eIVdy,0.01,288.15,0,100,999.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.0522,100,1001.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.1029,100,1002.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.1498,100,1003.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.202,100,1005,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.2459,100,1006.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,288.15,0.297,100,1007.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.0522,100,998.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.1029,100,1000.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.1498,100,1001.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.202,100,1002.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.2459,100,1003.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,298.15,0.297,100,1005.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0,100,994.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.0522,100,995.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.1029,100,997.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.1498,100,998.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.202,100,999.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.2459,100,1000.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,308.15,0.297,100,1002,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0,100,990.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.0522,100,991.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.1029,100,993.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.1498,100,994.3,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.202,100,995.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.2459,100,996.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.01,318.15,0.297,100,997.9,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0.0512,100,1002.1,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0.0993,100,1003.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
eIVdy,0.03,288.15,0.1453,100,1004.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine
