setid,Mole fraction of diisopropyl ether,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fDekA,0,101,298.15,886.4,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.0457,101,298.15,885.6,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.108,101,298.15,884.1,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.1956,101,298.15,881.6,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.2971,101,298.15,877.8,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.4005,101,298.15,872.6,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.5002,101,298.15,866,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.5996,101,298.15,857.2,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.7003,101,298.15,844.4,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.8001,101,298.15,824.9,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.8998,101,298.15,790.9,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,0.9499,101,298.15,762.3,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
fDekA,1,101,298.15,718.7,Lee and Park (2012),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
