setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MnmmN,293.15,0.2,101,1145,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,293.15,0.25,101,1130,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,293.15,0.333,101,1105,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,303.15,0.2,101,1138,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,303.15,0.25,101,1123,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,303.15,0.333,101,1099,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,313.15,0.2,101,1132,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,313.15,0.25,101,1117,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,313.15,0.333,101,1092,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,323.15,0.2,101,1125,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,323.15,0.25,101,1110,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,323.15,0.333,101,1086,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,333.15,0.2,101,1119,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,333.15,0.25,101,1104,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,333.15,0.333,101,1079,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,343.15,0.2,101,1112,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,343.15,0.25,101,1097,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,343.15,0.333,101,1073,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,353.15,0.2,101,1106,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,353.15,0.25,101,1091,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
MnmmN,353.15,0.333,101,1067,Mjalli et al. (2014b),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
