setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Wcsnq,0,0,288.15,100,999.1,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0,293.15,100,998.2,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0,298.15,100,997,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0,303.15,100,995.7,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0,308.15,100,994,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.01156,288.15,100,999.4,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.01156,293.15,100,998.5,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.01156,298.15,100,997.3,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.01156,303.15,100,995.9,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.01156,308.15,100,994.3,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.02987,288.15,100,999.8,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.02987,293.15,100,998.9,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.02987,298.15,100,997.8,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.02987,303.15,100,996.3,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.02987,308.15,100,994.7,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.05123,288.15,100,1000.4,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
Wcsnq,0,0.05123,293.15,100,999.4,Kumar et al. (2021d),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
