setid,"Temperature, K",Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JIbdo,298.1,0.14,100,1278.81,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,298.1,0.2,100,1319.59,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,298.1,0.333,100,1384.9,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,303,0.14,100,1274.76,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,303,0.2,100,1315.39,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,303,0.333,100,1380.57,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,308.1,0.14,100,1270.68,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,308.1,0.2,100,1311.17,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,308.1,0.333,100,1376.21,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,313,0.14,100,1266.59,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,313,0.2,100,1306.95,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,313,0.333,100,1371.83,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,318.1,0.14,100,1262.48,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,318.1,0.2,100,1302.71,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,318.1,0.333,100,1367.43,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,323,0.14,100,1258.35,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,323,0.2,100,1298.45,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,323,0.333,100,1363.02,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,328.1,0.14,100,1254.2,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
JIbdo,328.1,0.2,100,1294.11,Klein et al. (2020b),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
