setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JeVXb,293.15,0,101.3,974.8,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.0163,101.3,977.2,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.0311,101.3,979.4,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.042,101.3,981,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.0528,101.3,982.5,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.0794,101.3,986.2,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.1156,101.3,991.3,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.1953,101.3,1002.2,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.2801,101.3,1013.6,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
JeVXb,293.15,0.3074,101.3,1016.8,Wang et al. (2022b),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
