setid,Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cNtcu,0,313.15,100,1040.8,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,318.15,100,1037.6,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,323.15,100,1034.4,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,328.15,100,1031.2,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,333.15,100,1027.9,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,338.15,100,1024.6,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,343.15,100,1021.3,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,348.15,100,1018,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0,353.15,100,1014.6,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
cNtcu,0.0526,313.15,100,1116.5,Domanska et al. (2014e),Density,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
